,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,prediction,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return,algorithm_returns
2010-01-04 21:00:00+00:00,,0.0,,0.01604341707922341,,,0.0,100000.0,0.0,0.0,-0.0385,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2010-01-04 21:00:00+00:00,2010-01,2010-01-04 14:31:00+00:00,0.0,100000.0,[],,0.0,,0.0,0.0,0,,100000.0,0.0,0.0,1,[],0.0385,1.0
2010-01-05 21:00:00+00:00,0.0,0.0,0.0,0.01920907941979899,0.14511353093688878,0.0,0.0,100000.0,0.0,0.0,-0.0377,0.0,-1.0479421724401932,0.0,0.0,0,0.0,0.0,0.0,[],2010-01-05 21:00:00+00:00,2010-01,2010-01-05 14:31:00+00:00,0.0,100000.0,[],,0.0,,0.0,0.0,0,,100000.0,0.0,0.0,2,[],0.0377,1.0
2010-01-06 21:00:00+00:00,0.0,0.0,0.0,0.019765078893697385,0.13185034395867723,0.0,0.0,100000.0,0.0,0.0,-0.0385,0.0,-0.7907982090981633,0.0,0.0,0,0.0,0.0,0.0,[],2010-01-06 21:00:00+00:00,2010-01,2010-01-06 14:31:00+00:00,0.0,100000.0,[],,0.0,,0.0,0.0,0,,100000.0,0.0,0.0,3,[],0.0385,1.0
2010-01-07 21:00:00+00:00,0.0,0.0,0.0,0.02384536415773386,0.10956648382753457,0.0,0.0,100000.0,0.0,0.0,-0.0385,0.0,-0.8586525151129917,0.0,0.0,0,0.0,0.0,0.0,[],2010-01-07 21:00:00+00:00,2010-01,2010-01-07 14:31:00+00:00,0.0,100000.0,[],,0.0,,0.0,0.0,0,,100000.0,0.0,0.0,4,[],0.0385,1.0
2010-01-08 21:00:00+00:00,0.0,0.0,0.0,0.02679580723083097,0.09731822495742527,0.0,0.0,100000.0,0.0,0.0,-0.0383,0.0,-0.8673897402688202,0.0,0.0,0,0.0,0.0,0.0,[],2010-01-08 21:00:00+00:00,2010-01,2010-01-08 14:31:00+00:00,0.0,100000.0,[],,0.0,,0.0,0.0,0,,100000.0,0.0,0.0,5,[],0.0383,1.0
2010-01-11 21:00:00+00:00,0.0,0.0,0.0,0.028589368385028457,0.09006764773588555,0.0,0.0,100000.0,0.0,0.0,-0.0385,0.0,-0.8323244500191866,0.0,0.0,0,0.0,0.0,0.0,[],2010-01-11 21:00:00+00:00,2010-01,2010-01-11 14:31:00+00:00,0.0,100000.0,[],,0.0,,0.0,0.0,0,,100000.0,0.0,0.0,6,[],0.0385,1.0
2010-01-12 21:00:00+00:00,0.0,0.0,0.0,0.018940001304421417,0.11798692216976654,0.0,0.0,100000.0,0.0,0.0,-0.0374,0.0,-0.36429176263443075,0.0,0.0,0,0.0,0.0,0.0,[],2010-01-12 21:00:00+00:00,2010-01,2010-01-12 14:31:00+00:00,0.0,100000.0,[],,0.0,,0.0,0.0,0,,100000.0,0.0,0.0,7,[],0.0374,1.0
2010-01-13 21:00:00+00:00,0.0,0.0,0.0,0.02742361999656273,0.11369490368974045,0.0,0.0,100000.0,0.0,0.0,-0.038,0.0,-0.47610051668915376,0.0,0.0,0,0.0,0.0,0.0,[],2010-01-13 21:00:00+00:00,2010-01,2010-01-13 14:31:00+00:00,0.0,100000.0,[],,0.0,,0.0,0.0,0,,100000.0,0.0,0.0,8,[],0.038,1.0
2010-01-14 21:00:00+00:00,0.0,0.0,0.0,0.029916586600303274,0.10647908709694712,0.0,0.0,100000.0,0.0,0.0,-0.0376,0.0,-0.49207359611818885,0.0,0.0,0,0.0,0.0,0.0,[],2010-01-14 21:00:00+00:00,2010-01,2010-01-14 14:31:00+00:00,0.0,100000.0,[],,0.0,,0.0,0.0,0,,100000.0,0.0,0.0,9,[],0.0376,1.0
2010-01-15 21:00:00+00:00,0.0,0.0,0.0,0.018769665008046,0.12290214590571549,0.0,0.0,100000.0,0.0,0.0,-0.037000000000000005,0.0,-0.24389163725641805,0.0,0.0,0,0.0,0.0,0.0,[],2010-01-15 21:00:00+00:00,2010-01,2010-01-15 14:31:00+00:00,0.0,100000.0,[],,0.0,,0.0,0.0,0,,100000.0,0.0,0.0,10,[],0.037000000000000005,1.0
